LandisData "Climate Data"

ClimateTable
>>Eco   Time	Month	AvgMinT	AvgMaxT	StdDevT		AvgPpt	StdDev	PAR
>>	Step				(C)		(C)					(cm)	Ppt	
eco1	0		1		6.67128	6.67128	0			2.6		1.5		120.85
eco1	0		2		6.67128	6.67128	0			1.9		1.5		217.74
eco1	0		3		6.67128	6.67128	0			5.1		2.3		333.66
eco1	0		4		6.67128	6.67128	0			6		2.8		463.42
eco1	0		5		6.67128	6.67128	0			9		3.6		546.14
eco1	0		6		6.67128	6.67128	0			10.4	5		524.96
eco1	0		7		6.67128	6.67128	0			12.4	4.4		546.5
eco1	0		8		6.67128	6.67128	0			12.2	5.3		511.12
eco1	0		9		6.67128	6.67128	0			15.5	5.2		359.11
eco1	0		10		6.67128	6.67128	0			8.4		3.6		223.58
eco1	0		11		6.67128	6.67128	0			5.8		2.5		129.6
eco1	0		12		6.67128	6.67128	0			3.1		1.4		99.93
eco2	0		1		6.67128	6.67128	0			2.6		1.5		120.85
eco2	0		2		6.67128	6.67128	0			1.9		1.5		217.74
eco2	0		3		6.67128	6.67128	0			5.1		2.3		333.66
eco2	0		4		6.67128	6.67128	0			6		2.8		463.42
eco2	0		5		6.67128	6.67128	0			9		3.6		546.14
eco2	0		6		6.67128	6.67128	0			10.4	5		524.96
eco2	0		7		6.67128	6.67128	0			12.4	4.4		546.5
eco2	0		8		6.67128	6.67128	0			12.2	5.3		511.12
eco2	0		9		6.67128	6.67128	0			15.5	5.2		359.11
eco2	0		10		6.67128	6.67128	0			8.4		3.6		223.58
eco2	0		11		6.67128	6.67128	0			5.8		2.5		129.6
eco2	0		12		6.67128	6.67128	0			3.1		1.4		99.93
