ecoregion species DOMpool DecayRate AmountT0 Q10
415_1 ABIE.BAL 1 0.355 10.0254 2.65
415_1 ABIE.BAL 2 0.5 4.7062 2
415_1 ABIE.BAL 3 0.1435 3.4022 2
415_1 ABIE.BAL 4 0.1435 3.3191 2
415_1 ABIE.BAL 5 0.0374 0.107 2
415_1 ABIE.BAL 6 0.015 45.4321 2.65
415_1 ABIE.BAL 7 0.0033 194.9031 1
415_1 ABIE.BAL 8 0.0187 0.0402 2
415_1 ABIE.BAL 9 0.0718 0.0144 2
415_1 ABIE.BAL 10 0.0001 0.0001 2
415_1 ACER.RUB 1 0.355 48.0288 2.65
415_1 ACER.RUB 2 0.5 21.1421 2
415_1 ACER.RUB 3 0.1435 41.4141 2
415_1 ACER.RUB 4 0.1435 15.8651 2
415_1 ACER.RUB 5 0.0374 26.1824 2
415_1 ACER.RUB 6 0.015 307.2654 2.65
415_1 ACER.RUB 7 0.0033 973.4265 1
415_1 ACER.RUB 8 0.0187 24.5199 2
415_1 ACER.RUB 9 0.0718 8.7387 2
415_1 ACER.RUB 10 0.0001 0.0001 2
415_1 ACER.SAH 1 0.355 34.978 2.65
415_1 ACER.SAH 2 0.5 11.2394 2
415_1 ACER.SAH 3 0.1435 67.5183 2
415_1 ACER.SAH 4 0.1435 9.0135 2
415_1 ACER.SAH 5 0.0374 22.7902 2
415_1 ACER.SAH 6 0.015 298.7414 2.65
415_1 ACER.SAH 7 0.0033 787.5848 1
415_1 ACER.SAH 8 0.0187 22.4201 2
415_1 ACER.SAH 9 0.0718 32.3105 2
415_1 ACER.SAH 10 0.0001 0.0001 2
415_1 BETU.ALL 1 0.355 116.8669 2.65
415_1 BETU.ALL 2 0.5 40.2815 2
415_1 BETU.ALL 3 0.1435 100.648 2
415_1 BETU.ALL 4 0.1435 25.5409 2
415_1 BETU.ALL 5 0.0374 2.3782 2
415_1 BETU.ALL 6 0.015 416.8202 2.65
415_1 BETU.ALL 7 0.0033 1202.0684 1
415_1 BETU.ALL 8 0.0187 3.7869 2
415_1 BETU.ALL 9 0.0718 48.0134 2
415_1 BETU.ALL 10 0.0001 0.0001 2
415_1 BETU.PAP 1 0.355 39.8416 2.65
415_1 BETU.PAP 2 0.5 19.3903 2
415_1 BETU.PAP 3 0.1435 14.228 2
415_1 BETU.PAP 4 0.1435 13.3032 2
415_1 BETU.PAP 5 0.0374 0.0001 2
415_1 BETU.PAP 6 0.015 169.1552 2.65
415_1 BETU.PAP 7 0.0033 721.988 1
415_1 BETU.PAP 8 0.0187 0.0001 2
415_1 BETU.PAP 9 0.0718 0.0292 2
415_1 BETU.PAP 10 0.0001 0.0001 2
415_1 FAGU.GRA 1 0.355 0.0001 2.65
415_1 FAGU.GRA 2 0.5 0.0001 2
415_1 FAGU.GRA 3 0.1435 0.0001 2
415_1 FAGU.GRA 4 0.1435 0.0001 2
415_1 FAGU.GRA 5 0.0374 0.0001 2
415_1 FAGU.GRA 6 0.015 0.0001 2.65
415_1 FAGU.GRA 7 0.0033 0.0001 1
415_1 FAGU.GRA 8 0.0187 0.0001 2
415_1 FAGU.GRA 9 0.0718 0.0001 2
415_1 FAGU.GRA 10 0.0001 0.0001 2
415_1 LARI.LAR 1 0.355 0.0001 2.65
415_1 LARI.LAR 2 0.5 0.0001 2
415_1 LARI.LAR 3 0.1435 0.0001 2
415_1 LARI.LAR 4 0.1435 0.0001 2
415_1 LARI.LAR 5 0.0374 0.0001 2
415_1 LARI.LAR 6 0.015 0.0001 2.65
415_1 LARI.LAR 7 0.0033 0.0001 1
415_1 LARI.LAR 8 0.0187 0.0001 2
415_1 LARI.LAR 9 0.0718 0.0001 2
415_1 LARI.LAR 10 0.0001 0.0001 2
415_1 PICE.GLA 1 0.355 312.1371 2.65
415_1 PICE.GLA 2 0.5 83.1953 2
415_1 PICE.GLA 3 0.1435 412.6164 2
415_1 PICE.GLA 4 0.1435 62.6486 2
415_1 PICE.GLA 5 0.0374 808.212 2
415_1 PICE.GLA 6 0.015 2433.8774 2.65
415_1 PICE.GLA 7 0.0033 6002.8083 1
415_1 PICE.GLA 8 0.0187 673.5058 2
415_1 PICE.GLA 9 0.0718 195.7723 2
415_1 PICE.GLA 10 0.0001 0.0001 2
415_1 PICE.MAR 1 0.355 190.4658 2.65
415_1 PICE.MAR 2 0.5 63.3142 2
415_1 PICE.MAR 3 0.1435 204.3803 2
415_1 PICE.MAR 4 0.1435 46.5019 2
415_1 PICE.MAR 5 0.0374 331.7037 2
415_1 PICE.MAR 6 0.015 1308.6363 2.65
415_1 PICE.MAR 7 0.0033 3585.8163 1
415_1 PICE.MAR 8 0.0187 255.789 2
415_1 PICE.MAR 9 0.0718 87.6271 2
415_1 PICE.MAR 10 0.0001 0.0001 2
415_1 PICE.RUB 1 0.355 21.4787 2.65
415_1 PICE.RUB 2 0.5 10.3847 2
415_1 PICE.RUB 3 0.1435 7.4013 2
415_1 PICE.RUB 4 0.1435 7.0612 2
415_1 PICE.RUB 5 0.0374 1.0255 2
415_1 PICE.RUB 6 0.015 85.3025 2.65
415_1 PICE.RUB 7 0.0033 368.9659 1
415_1 PICE.RUB 8 0.0187 0.3108 2
415_1 PICE.RUB 9 0.0718 0.0483 2
415_1 PICE.RUB 10 0.0001 0.0001 2
415_1 PINU.BAN 1 0.355 164.2777 2.65
415_1 PINU.BAN 2 0.5 75.8844 2
415_1 PINU.BAN 3 0.1435 108.1736 2
415_1 PINU.BAN 4 0.1435 54.5605 2
415_1 PINU.BAN 5 0.0374 199.2261 2
415_1 PINU.BAN 6 0.015 1166.5703 2.65
415_1 PINU.BAN 7 0.0033 3816.3485 1
415_1 PINU.BAN 8 0.0187 107.7955 2
415_1 PINU.BAN 9 0.0718 16.8492 2
415_1 PINU.BAN 10 0.0001 0.0001 2
415_1 PINU.RES 1 0.355 0.0001 2.65
415_1 PINU.RES 2 0.5 0.0001 2
415_1 PINU.RES 3 0.1435 0.0001 2
415_1 PINU.RES 4 0.1435 0.0001 2
415_1 PINU.RES 5 0.0374 0.0001 2
415_1 PINU.RES 6 0.015 0.0001 2.65
415_1 PINU.RES 7 0.0033 0.0001 1
415_1 PINU.RES 8 0.0187 0.0001 2
415_1 PINU.RES 9 0.0718 0.0001 2
415_1 PINU.RES 10 0.0001 0.0001 2
415_1 PINU.STR 1 0.355 80.175 2.65
415_1 PINU.STR 2 0.5 39.858 2
415_1 PINU.STR 3 0.1435 30.23 2
415_1 PINU.STR 4 0.1435 26.62 2
415_1 PINU.STR 5 0.0374 18.699 2
415_1 PINU.STR 6 0.015 363.003 2.65
415_1 PINU.STR 7 0.0033 1433.091 1
415_1 PINU.STR 8 0.0187 5.727 2
415_1 PINU.STR 9 0.0718 0.148 2
415_1 PINU.STR 10 0.0001 0.0001 2
415_1 POPU.TRE 1 0.355 116.7027 2.65
415_1 POPU.TRE 2 0.5 45.0014 2
415_1 POPU.TRE 3 0.1435 108.6645 2
415_1 POPU.TRE 4 0.1435 32.6702 2
415_1 POPU.TRE 5 0.0374 50.2035 2
415_1 POPU.TRE 6 0.015 662.8539 2.65
415_1 POPU.TRE 7 0.0033 2126.7823 1
415_1 POPU.TRE 8 0.0187 61.1499 2
415_1 POPU.TRE 9 0.0718 40.7627 2
415_1 POPU.TRE 10 0.0001 0.0001 2
415_1 QUER.RUB 1 0.355 0.0001 2.65
415_1 QUER.RUB 2 0.5 0.0001 2
415_1 QUER.RUB 3 0.1435 0.0001 2
415_1 QUER.RUB 4 0.1435 0.0001 2
415_1 QUER.RUB 5 0.0374 0.0001 2
415_1 QUER.RUB 6 0.015 0.0001 2.65
415_1 QUER.RUB 7 0.0033 0.0001 1
