ecoregion species DOMpool DecayRate AmountT0 Q10
420_1 ABIE.BAL 1 0.355 5.9706 2.65
420_1 ABIE.BAL 2 0.5 2.8123 2
420_1 ABIE.BAL 3 0.1435 2.081 2
420_1 ABIE.BAL 4 0.1435 2.0479 2
420_1 ABIE.BAL 5 0.0374 0.1092 2
420_1 ABIE.BAL 6 0.015 31.0102 2.65
420_1 ABIE.BAL 7 0.0033 140.7135 1
420_1 ABIE.BAL 8 0.0187 0.0315 2
420_1 ABIE.BAL 9 0.0718 0.0058 2
420_1 ABIE.BAL 10 0.0001 0.0001 2
420_1 ACER.RUB 1 0.355 23.4255 2.65
420_1 ACER.RUB 2 0.5 11.1514 2
420_1 ACER.RUB 3 0.1435 9.0883 2
420_1 ACER.RUB 4 0.1435 8.4509 2
420_1 ACER.RUB 5 0.0374 0.3415 2
420_1 ACER.RUB 6 0.015 120.9702 2.65
420_1 ACER.RUB 7 0.0033 544.4608 1
420_1 ACER.RUB 8 0.0187 0.3036 2
420_1 ACER.RUB 9 0.0718 0.208 2
420_1 ACER.RUB 10 0.0001 0.0001 2
420_1 ACER.SAH 1 0.355 98.8602 2.65
420_1 ACER.SAH 2 0.5 38.5506 2
420_1 ACER.SAH 3 0.1435 93.257 2
420_1 ACER.SAH 4 0.1435 29.0629 2
420_1 ACER.SAH 5 0.0374 186.4062 2
420_1 ACER.SAH 6 0.015 821.5362 2.65
420_1 ACER.SAH 7 0.0033 2636.4354 1
420_1 ACER.SAH 8 0.0187 146.7572 2
420_1 ACER.SAH 9 0.0718 31.4589 2
420_1 ACER.SAH 10 0.0001 0.0001 2
420_1 BETU.ALL 1 0.355 99.4875 2.65
420_1 BETU.ALL 2 0.5 44.6009 2
420_1 BETU.ALL 3 0.1435 64.139 2
420_1 BETU.ALL 4 0.1435 31.7878 2
420_1 BETU.ALL 5 0.0374 52.0693 2
420_1 BETU.ALL 6 0.015 527.2508 2.65
420_1 BETU.ALL 7 0.0033 2014.5967 1
420_1 BETU.ALL 8 0.0187 51.7002 2
420_1 BETU.ALL 9 0.0718 14.671 2
420_1 BETU.ALL 10 0.0001 0.0001 2
420_1 BETU.PAP 1 0.355 34.4651 2.65
420_1 BETU.PAP 2 0.5 16.794 2
420_1 BETU.PAP 3 0.1435 12.1698 2
420_1 BETU.PAP 4 0.1435 11.5979 2
420_1 BETU.PAP 5 0.0374 0.1101 2
420_1 BETU.PAP 6 0.015 144.3723 2.65
420_1 BETU.PAP 7 0.0033 658.4717 1
420_1 BETU.PAP 8 0.0187 0.1278 2
420_1 BETU.PAP 9 0.0718 0.1532 2
420_1 BETU.PAP 10 0.0001 0.0001 2
420_1 FAGU.GRA 1 0.355 20.96 2.65
420_1 FAGU.GRA 2 0.5 6.815 2
420_1 FAGU.GRA 3 0.1435 39.5464 2
420_1 FAGU.GRA 4 0.1435 7.3609 2
420_1 FAGU.GRA 5 0.0374 141.4823 2
420_1 FAGU.GRA 6 0.015 471.2237 2.65
420_1 FAGU.GRA 7 0.0033 1464.9259 1
420_1 FAGU.GRA 8 0.0187 80.7626 2
420_1 FAGU.GRA 9 0.0718 10.6536 2
420_1 FAGU.GRA 10 0.0001 0.0001 2
420_1 LARI.LAR 1 0.355 22.7102 2.65
420_1 LARI.LAR 2 0.5 10.9834 2
420_1 LARI.LAR 3 0.1435 7.7392 2
420_1 LARI.LAR 4 0.1435 7.4968 2
420_1 LARI.LAR 5 0.0374 0.1146 2
420_1 LARI.LAR 6 0.015 89.1816 2.65
420_1 LARI.LAR 7 0.0033 386.566 1
420_1 LARI.LAR 8 0.0187 0.0457 2
420_1 LARI.LAR 9 0.0718 0.0311 2
420_1 LARI.LAR 10 0.0001 0.0001 2
420_1 PICE.GLA 1 0.355 294.1551 2.65
420_1 PICE.GLA 2 0.5 89.2867 2
420_1 PICE.GLA 3 0.1435 314.0706 2
420_1 PICE.GLA 4 0.1435 65.1747 2
420_1 PICE.GLA 5 0.0374 677.8116 2
420_1 PICE.GLA 6 0.015 1872.3737 2.65
420_1 PICE.GLA 7 0.0033 5153.0526 1
420_1 PICE.GLA 8 0.0187 631.1301 2
420_1 PICE.GLA 9 0.0718 138.232 2
420_1 PICE.GLA 10 0.0001 0.0001 2
420_1 PICE.MAR 1 0.355 118.4597 2.65
420_1 PICE.MAR 2 0.5 43.4843 2
420_1 PICE.MAR 3 0.1435 123.0614 2
420_1 PICE.MAR 4 0.1435 34.5905 2
420_1 PICE.MAR 5 0.0374 217.8276 2
420_1 PICE.MAR 6 0.015 949.6029 2.65
420_1 PICE.MAR 7 0.0033 2902.7634 1
420_1 PICE.MAR 8 0.0187 153.592 2
420_1 PICE.MAR 9 0.0718 42.4388 2
420_1 PICE.MAR 10 0.0001 0.0001 2
420_1 PICE.RUB 1 0.355 22.1593 2.65
420_1 PICE.RUB 2 0.5 10.76 2
420_1 PICE.RUB 3 0.1435 7.4243 2
420_1 PICE.RUB 4 0.1435 7.2971 2
420_1 PICE.RUB 5 0.0374 0.7291 2
420_1 PICE.RUB 6 0.015 85.7357 2.65
420_1 PICE.RUB 7 0.0033 397.3778 1
420_1 PICE.RUB 8 0.0187 0.183 2
420_1 PICE.RUB 9 0.0718 0.0451 2
420_1 PICE.RUB 10 0.0001 0.0001 2
420_1 PINU.BAN 1 0.355 187.5442 2.65
420_1 PINU.BAN 2 0.5 74.4803 2
420_1 PINU.BAN 3 0.1435 171.1027 2
420_1 PINU.BAN 4 0.1435 54.8424 2
420_1 PINU.BAN 5 0.0374 295.283 2
420_1 PINU.BAN 6 0.015 1331.4218 2.65
420_1 PINU.BAN 7 0.0033 4022.9714 1
420_1 PINU.BAN 8 0.0187 196.8412 2
420_1 PINU.BAN 9 0.0718 54.4295 2
420_1 PINU.BAN 10 0.0001 0.0001 2
420_1 PINU.RES 1 0.355 2.9708 2.65
420_1 PINU.RES 2 0.5 0.689 2
420_1 PINU.RES 3 0.1435 8.6896 2
420_1 PINU.RES 4 0.1435 0.9537 2
420_1 PINU.RES 5 0.0374 21.0604 2
420_1 PINU.RES 6 0.015 85.4317 2.65
420_1 PINU.RES 7 0.0033 232.1782 1
420_1 PINU.RES 8 0.0187 10.8587 2
420_1 PINU.RES 9 0.0718 2.5594 2
420_1 PINU.RES 10 0.0001 0.0001 2
420_1 PINU.STR 1 0.355 103.4582 2.65
420_1 PINU.STR 2 0.5 48.7858 2
420_1 PINU.STR 3 0.1435 46.053 2
420_1 PINU.STR 4 0.1435 33.3098 2
420_1 PINU.STR 5 0.0374 54.0211 2
420_1 PINU.STR 6 0.015 499.558 2.65
420_1 PINU.STR 7 0.0033 1977.161 1
420_1 PINU.STR 8 0.0187 26.6243 2
420_1 PINU.STR 9 0.0718 6.5165 2
420_1 PINU.STR 10 0.0001 0.0001 2
420_1 POPU.TRE 1 0.355 94.0415 2.65
420_1 POPU.TRE 2 0.5 43.0092 2
420_1 POPU.TRE 3 0.1435 53.5262 2
420_1 POPU.TRE 4 0.1435 32.4113 2
420_1 POPU.TRE 5 0.0374 28.2714 2
420_1 POPU.TRE 6 0.015 561.5946 2.65
420_1 POPU.TRE 7 0.0033 2169.647 1
420_1 POPU.TRE 8 0.0187 26.096 2
420_1 POPU.TRE 9 0.0718 8.5907 2
420_1 POPU.TRE 10 0.0001 0.0001 2
420_1 QUER.RUB 1 0.355 72.767 2.65
420_1 QUER.RUB 2 0.5 18.1905 2
420_1 QUER.RUB 3 0.1435 187.848 2
420_1 QUER.RUB 4 0.1435 21.1408 2
420_1 QUER.RUB 5 0.0374 617.0153 2
420_1 QUER.RUB 6 0.015 1612.1027 2.65
420_1 QUER.RUB 7 0.0033 4443.3277 1
420_1 QUER.RUB 8 0.0187 379.0896 2
420_1 QUER.RUB 9 0.0718 64.7043 2
420_1 QUER.RUB 10 0.0001 0.0001 2
420_1 THUJ.SPP.ALL 1 0.355 70.0206 2.65
420_1 THUJ.SPP.ALL 2 0.5 33.2698 2
420_1 THUJ.SPP.ALL 3 0.1435 29.7187 2
420_1 THUJ.SPP.ALL 4 0.1435 23.614 2
420_1 THUJ.SPP.ALL 5 0.0374 29.5642 2
420_1 THUJ.SPP.ALL 6 0.015 341.1694 2.65
420_1 THUJ.SPP.ALL 7 0.0033 1448.8773 1
420_1 THUJ.SPP.ALL 8 0.0187 16.6604 2
420_1 THUJ.SPP.ALL 9 0.0718 2.5546 2
420_1 THUJ.SPP.ALL 10 0.0001 0.0001 2
420_1 TSUG.CAN 1 0.355 65.1773 2.65
420_1 TSUG.CAN 2 0.5 31.6972 2
420_1 TSUG.CAN 3 0.1435 25.5083 2
420_1 TSUG.CAN 4 0.1435 21.8057 2
420_1 TSUG.CAN 5 0.0374 28.2811 2
420_1 TSUG.CAN 6 0.015 306.7287 2.65
420_1 TSUG.CAN 7 0.0033 1318.1585 1
420_1 TSUG.CAN 8 0.0187 10.7147 2
420_1 TSUG.CAN 9 0.0718 1.3184 2
420_1 TSUG.CAN 10 0.0001 0.0001 2
420_2 ABIE.BAL 1 0.355 5.5667 2.65
420_2 ABIE.BAL 2 0.5 2.5962 2
420_2 ABIE.BAL 3 0.1435 1.9312 2
420_2 ABIE.BAL 4 0.1435 1.9046 2
420_2 ABIE.BAL 5 0.0374 0.0812 2
420_2 ABIE.BAL 6 0.015 29.2873 2.65
420_2 ABIE.BAL 7 0.0033 132.735 1
420_2 ABIE.BAL 8 0.0187 0.0244 2
420_2 ABIE.BAL 9 0.0718 0.0053 2
420_2 ABIE.BAL 10 0.0001 0.0001 2
420_2 ACER.RUB 1 0.355 23.5594 2.65
420_2 ACER.RUB 2 0.5 11.1292 2
420_2 ACER.RUB 3 0.1435 9.4009 2
420_2 ACER.RUB 4 0.1435 8.4078 2
420_2 ACER.RUB 5 0.0374 0.7472 2
420_2 ACER.RUB 6 0.015 120.541 2.65
420_2 ACER.RUB 7 0.0033 534.5992 1
420_2 ACER.RUB 8 0.0187 0.5799 2
420_2 ACER.RUB 9 0.0718 0.3994 2
420_2 ACER.RUB 10 0.0001 0.0001 2
420_2 ACER.SAH 1 0.355 100.4826 2.65
420_2 ACER.SAH 2 0.5 38.6185 2
420_2 ACER.SAH 3 0.1435 96.1727 2
420_2 ACER.SAH 4 0.1435 28.9998 2
420_2 ACER.SAH 5 0.0374 186.3526 2
420_2 ACER.SAH 6 0.015 807.8794 2.65
420_2 ACER.SAH 7 0.0033 2596.2363 1
420_2 ACER.SAH 8 0.0187 144.926 2
420_2 ACER.SAH 9 0.0718 33.7865 2
420_2 ACER.SAH 10 0.0001 0.0001 2
420_2 BETU.ALL 1 0.355 91.9103 2.65
420_2 BETU.ALL 2 0.5 41.9296 2
420_2 BETU.ALL 3 0.1435 54.1782 2
420_2 BETU.ALL 4 0.1435 29.5355 2
420_2 BETU.ALL 5 0.0374 35.3647 2
420_2 BETU.ALL 6 0.015 462.5173 2.65
420_2 BETU.ALL 7 0.0033 1816.0968 1
420_2 BETU.ALL 8 0.0187 35.4695 2
420_2 BETU.ALL 9 0.0718 10.9837 2
420_2 BETU.ALL 10 0.0001 0.0001 2
420_2 BETU.PAP 1 0.355 35.1069 2.65
420_2 BETU.PAP 2 0.5 17.0798 2
420_2 BETU.PAP 3 0.1435 12.3284 2
420_2 BETU.PAP 4 0.1435 11.7359 2
420_2 BETU.PAP 5 0.0374 0.1123 2
420_2 BETU.PAP 6 0.015 145.4147 2.65
420_2 BETU.PAP 7 0.0033 659.3758 1
420_2 BETU.PAP 8 0.0187 0.1268 2
420_2 BETU.PAP 9 0.0718 0.1629 2
420_2 BETU.PAP 10 0.0001 0.0001 2
420_2 FAGU.GRA 1 0.355 23.1063 2.65
420_2 FAGU.GRA 2 0.5 7.2944 2
420_2 FAGU.GRA 3 0.1435 46.8808 2
420_2 FAGU.GRA 4 0.1435 8.1458 2
420_2 FAGU.GRA 5 0.0374 175.6791 2
420_2 FAGU.GRA 6 0.015 566.8791 2.65
420_2 FAGU.GRA 7 0.0033 1734.8645 1
420_2 FAGU.GRA 8 0.0187 96.7794 2
420_2 FAGU.GRA 9 0.0718 12.4602 2
420_2 FAGU.GRA 10 0.0001 0.0001 2
420_2 LARI.LAR 1 0.355 21.9786 2.65
420_2 LARI.LAR 2 0.5 10.5714 2
420_2 LARI.LAR 3 0.1435 7.4542 2
420_2 LARI.LAR 4 0.1435 7.212 2
420_2 LARI.LAR 5 0.0374 0.042 2
420_2 LARI.LAR 6 0.015 84.7418 2.65
420_2 LARI.LAR 7 0.0033 367.7636 1
420_2 LARI.LAR 8 0.0187 0.0167 2
420_2 LARI.LAR 9 0.0718 0.0669 2
420_2 LARI.LAR 10 0.0001 0.0001 2
420_2 PICE.GLA 1 0.355 288.5381 2.65
420_2 PICE.GLA 2 0.5 87.6141 2
420_2 PICE.GLA 3 0.1435 309.6399 2
420_2 PICE.GLA 4 0.1435 63.8717 2
420_2 PICE.GLA 5 0.0374 667.4538 2
420_2 PICE.GLA 6 0.015 1854.5676 2.65
420_2 PICE.GLA 7 0.0033 5076.1849 1
420_2 PICE.GLA 8 0.0187 609.1158 2
420_2 PICE.GLA 9 0.0718 134.5396 2
420_2 PICE.GLA 10 0.0001 0.0001 2
420_2 PICE.MAR 1 0.355 119.3216 2.65
420_2 PICE.MAR 2 0.5 43.5553 2
420_2 PICE.MAR 3 0.1435 124.5656 2
420_2 PICE.MAR 4 0.1435 34.4926 2
420_2 PICE.MAR 5 0.0374 218.3818 2
420_2 PICE.MAR 6 0.015 950.1448 2.65
420_2 PICE.MAR 7 0.0033 2881.7118 1
420_2 PICE.MAR 8 0.0187 153.0706 2
420_2 PICE.MAR 9 0.0718 42.9029 2
420_2 PICE.MAR 10 0.0001 0.0001 2
420_2 PICE.RUB 1 0.355 28.5 2.65
420_2 PICE.RUB 2 0.5 13.8773 2
420_2 PICE.RUB 3 0.1435 9.6551 2
420_2 PICE.RUB 4 0.1435 9.351 2
420_2 PICE.RUB 5 0.0374 1.2986 2
420_2 PICE.RUB 6 0.015 112.0404 2.65
420_2 PICE.RUB 7 0.0033 508.1229 1
420_2 PICE.RUB 8 0.0187 0.3581 2
420_2 PICE.RUB 9 0.0718 0.1147 2
420_2 PICE.RUB 10 0.0001 0.0001 2
420_2 PINU.BAN 1 0.355 192.1216 2.65
420_2 PINU.BAN 2 0.5 73.7266 2
420_2 PINU.BAN 3 0.1435 184.277 2
420_2 PINU.BAN 4 0.1435 54.523 2
420_2 PINU.BAN 5 0.0374 321.8362 2
420_2 PINU.BAN 6 0.015 1378.4946 2.65
420_2 PINU.BAN 7 0.0033 4072.6268 1
420_2 PINU.BAN 8 0.0187 221.1195 2
420_2 PINU.BAN 9 0.0718 61.4565 2
420_2 PINU.BAN 10 0.0001 0.0001 2
420_2 PINU.RES 1 0.355 2.4822 2.65
420_2 PINU.RES 2 0.5 0.6139 2
420_2 PINU.RES 3 0.1435 7.6508 2
420_2 PINU.RES 4 0.1435 0.8366 2
420_2 PINU.RES 5 0.0374 21.6995 2
420_2 PINU.RES 6 0.015 83.3041 2.65
420_2 PINU.RES 7 0.0033 229.5056 1
420_2 PINU.RES 8 0.0187 10.7687 2
420_2 PINU.RES 9 0.0718 2.0046 2
420_2 PINU.RES 10 0.0001 0.0001 2
420_2 PINU.STR 1 0.355 111.1586 2.65
420_2 PINU.STR 2 0.5 51.7736 2
420_2 PINU.STR 3 0.1435 51.7777 2
420_2 PINU.STR 4 0.1435 35.2631 2
420_2 PINU.STR 5 0.0374 61.4551 2
420_2 PINU.STR 6 0.015 538.4166 2.65
420_2 PINU.STR 7 0.0033 2091.1845 1
420_2 PINU.STR 8 0.0187 31.3078 2
420_2 PINU.STR 9 0.0718 8.6843 2
420_2 PINU.STR 10 0.0001 0.0001 2
420_2 POPU.TRE 1 0.355 93.6165 2.65
420_2 POPU.TRE 2 0.5 42.3092 2
420_2 POPU.TRE 3 0.1435 55.1172 2
420_2 POPU.TRE 4 0.1435 31.6993 2
420_2 POPU.TRE 5 0.0374 29.3901 2
420_2 POPU.TRE 6 0.015 549.7558 2.65
420_2 POPU.TRE 7 0.0033 2096.3785 1
420_2 POPU.TRE 8 0.0187 27.9529 2
420_2 POPU.TRE 9 0.0718 10.0453 2
420_2 POPU.TRE 10 0.0001 0.0001 2
420_2 QUER.RUB 1 0.355 105.4742 2.65
420_2 QUER.RUB 2 0.5 26.0693 2
420_2 QUER.RUB 3 0.1435 246.0606 2
420_2 QUER.RUB 4 0.1435 26.2471 2
420_2 QUER.RUB 5 0.0374 656.2349 2
420_2 QUER.RUB 6 0.015 1798.886 2.65
420_2 QUER.RUB 7 0.0033 4808.0256 1
420_2 QUER.RUB 8 0.0187 427.8088 2
420_2 QUER.RUB 9 0.0718 96.2114 2
420_2 QUER.RUB 10 0.0001 0.0001 2
420_2 THUJ.SPP.ALL 1 0.355 77.4232 2.65
420_2 THUJ.SPP.ALL 2 0.5 36.0084 2
420_2 THUJ.SPP.ALL 3 0.1435 35.6288 2
420_2 THUJ.SPP.ALL 4 0.1435 25.5279 2
420_2 THUJ.SPP.ALL 5 0.0374 41.003 2
420_2 THUJ.SPP.ALL 6 0.015 385.0868 2.65
420_2 THUJ.SPP.ALL 7 0.0033 1582.6485 1
420_2 THUJ.SPP.ALL 8 0.0187 25.9775 2
420_2 THUJ.SPP.ALL 9 0.0718 4.7518 2
420_2 THUJ.SPP.ALL 10 0.0001 0.0001 2
420_2 TSUG.CAN 1 0.355 73.8864 2.65
420_2 TSUG.CAN 2 0.5 35.2649 2
420_2 TSUG.CAN 3 0.1435 31.299 2
420_2 TSUG.CAN 4 0.1435 24.0822 2
420_2 TSUG.CAN 5 0.0374 45.4801 2
420_2 TSUG.CAN 6 0.015 356.361 2.65
420_2 TSUG.CAN 7 0.0033 1471.1777 1
420_2 TSUG.CAN 8 0.0187 21.0431 2
420_2 TSUG.CAN 9 0.0718 3.2749 2
420_2 TSUG.CAN 10 0.0001 0.0001 2
420_3 ABIE.BAL 1 0.355 5.1334 2.65
420_3 ABIE.BAL 2 0.5 2.3897 2
420_3 ABIE.BAL 3 0.1435 1.7765 2
420_3 ABIE.BAL 4 0.1435 1.7556 2
420_3 ABIE.BAL 5 0.0374 0.0861 2
420_3 ABIE.BAL 6 0.015 27.4838 2.65
420_3 ABIE.BAL 7 0.0033 124.767 1
420_3 ABIE.BAL 8 0.0187 0.0232 2
420_3 ABIE.BAL 9 0.0718 0.0021 2
420_3 ABIE.BAL 10 0.0001 0.0001 2
420_3 ACER.RUB 1 0.355 20.4359 2.65
420_3 ACER.RUB 2 0.5 9.5026 2
420_3 ACER.RUB 3 0.1435 8.135 2
420_3 ACER.RUB 4 0.1435 7.5621 2
420_3 ACER.RUB 5 0.0374 0.4575 2
420_3 ACER.RUB 6 0.015 113.183 2.65
420_3 ACER.RUB 7 0.0033 513.119 1
420_3 ACER.RUB 8 0.0187 0.3193 2
420_3 ACER.RUB 9 0.0718 0.1913 2
420_3 ACER.RUB 10 0.0001 0.0001 2
420_3 ACER.SAH 1 0.355 111.6509 2.65
420_3 ACER.SAH 2 0.5 45.0104 2
420_3 ACER.SAH 3 0.1435 95.9466 2
420_3 ACER.SAH 4 0.1435 34.0879 2
420_3 ACER.SAH 5 0.0374 199.5548 2
420_3 ACER.SAH 6 0.015 897.4083 2.65
420_3 ACER.SAH 7 0.0033 2963.8919 1
420_3 ACER.SAH 8 0.0187 141.9295 2
420_3 ACER.SAH 9 0.0718 28.6318 2
420_3 ACER.SAH 10 0.0001 0.0001 2
420_3 BETU.ALL 1 0.355 99.2044 2.65
420_3 BETU.ALL 2 0.5 44.6793 2
420_3 BETU.ALL 3 0.1435 61.5223 2
420_3 BETU.ALL 4 0.1435 31.5606 2
420_3 BETU.ALL 5 0.0374 45.4972 2
420_3 BETU.ALL 6 0.015 507.6624 2.65
420_3 BETU.ALL 7 0.0033 1952.5012 1
420_3 BETU.ALL 8 0.0187 44.7792 2
420_3 BETU.ALL 9 0.0718 13.0344 2
420_3 BETU.ALL 10 0.0001 0.0001 2
420_3 BETU.PAP 1 0.355 34.6552 2.65
420_3 BETU.PAP 2 0.5 16.8215 2
420_3 BETU.PAP 3 0.1435 12.1541 2
420_3 BETU.PAP 4 0.1435 11.5528 2
420_3 BETU.PAP 5 0.0374 0.1182 2
420_3 BETU.PAP 6 0.015 143.8304 2.65
420_3 BETU.PAP 7 0.0033 649.7185 1
420_3 BETU.PAP 8 0.0187 0.1372 2
420_3 BETU.PAP 9 0.0718 0.1227 2
420_3 BETU.PAP 10 0.0001 0.0001 2
420_3 FAGU.GRA 1 0.355 23.539 2.65
420_3 FAGU.GRA 2 0.5 7.3623 2
420_3 FAGU.GRA 3 0.1435 47.7319 2
420_3 FAGU.GRA 4 0.1435 8.7637 2
420_3 FAGU.GRA 5 0.0374 176.6771 2
420_3 FAGU.GRA 6 0.015 570.6801 2.65
420_3 FAGU.GRA 7 0.0033 1765.966 1
420_3 FAGU.GRA 8 0.0187 99.3992 2
420_3 FAGU.GRA 9 0.0718 11.7392 2
420_3 FAGU.GRA 10 0.0001 0.0001 2
420_3 LARI.LAR 1 0.355 28.115 2.65
420_3 LARI.LAR 2 0.5 13.5912 2
420_3 LARI.LAR 3 0.1435 9.8061 2
420_3 LARI.LAR 4 0.1435 9.2109 2
420_3 LARI.LAR 5 0.0374 0.2257 2
420_3 LARI.LAR 6 0.015 110.5974 2.65
420_3 LARI.LAR 7 0.0033 474.7643 1
420_3 LARI.LAR 8 0.0187 0.0892 2
420_3 LARI.LAR 9 0.0718 0.1466 2
420_3 LARI.LAR 10 0.0001 0.0001 2
420_3 PICE.GLA 1 0.355 303.4814 2.65
420_3 PICE.GLA 2 0.5 91.3132 2
420_3 PICE.GLA 3 0.1435 318.4628 2
420_3 PICE.GLA 4 0.1435 65.9541 2
420_3 PICE.GLA 5 0.0374 696.5135 2
420_3 PICE.GLA 6 0.015 1879.8874 2.65
420_3 PICE.GLA 7 0.0033 5139.2658 1
420_3 PICE.GLA 8 0.0187 643.3999 2
420_3 PICE.GLA 9 0.0718 138.4503 2
420_3 PICE.GLA 10 0.0001 0.0001 2
420_3 PICE.MAR 1 0.355 106.0935 2.65
420_3 PICE.MAR 2 0.5 38.5175 2
420_3 PICE.MAR 3 0.1435 113.1583 2
420_3 PICE.MAR 4 0.1435 30.9349 2
420_3 PICE.MAR 5 0.0374 208.7211 2
420_3 PICE.MAR 6 0.015 893.0403 2.65
420_3 PICE.MAR 7 0.0033 2692.3817 1
420_3 PICE.MAR 8 0.0187 141.0804 2
420_3 PICE.MAR 9 0.0718 37.4184 2
420_3 PICE.MAR 10 0.0001 0.0001 2
420_3 PICE.RUB 1 0.355 29.1814 2.65
420_3 PICE.RUB 2 0.5 14.1728 2
420_3 PICE.RUB 3 0.1435 9.8937 2
420_3 PICE.RUB 4 0.1435 9.543 2
420_3 PICE.RUB 5 0.0374 1.439 2
420_3 PICE.RUB 6 0.015 114.5936 2.65
420_3 PICE.RUB 7 0.0033 517.9788 1
420_3 PICE.RUB 8 0.0187 0.4183 2
420_3 PICE.RUB 9 0.0718 0.1143 2
420_3 PICE.RUB 10 0.0001 0.0001 2
420_3 PINU.BAN 1 0.355 190.7828 2.65
420_3 PINU.BAN 2 0.5 73.273 2
420_3 PINU.BAN 3 0.1435 185.1621 2
420_3 PINU.BAN 4 0.1435 54.522 2
420_3 PINU.BAN 5 0.0374 340.1755 2
420_3 PINU.BAN 6 0.015 1400.0707 2.65
420_3 PINU.BAN 7 0.0033 4113.3932 1
420_3 PINU.BAN 8 0.0187 229.6643 2
420_3 PINU.BAN 9 0.0718 59.0566 2
420_3 PINU.BAN 10 0.0001 0.0001 2
420_3 PINU.RES 1 0.355 2.7195 2.65
420_3 PINU.RES 2 0.5 0.5694 2
420_3 PINU.RES 3 0.1435 7.0731 2
420_3 PINU.RES 4 0.1435 0.7577 2
420_3 PINU.RES 5 0.0374 20.3209 2
420_3 PINU.RES 6 0.015 80.3084 2.65
420_3 PINU.RES 7 0.0033 225.8874 1
420_3 PINU.RES 8 0.0187 9.3972 2
420_3 PINU.RES 9 0.0718 2.268 2
420_3 PINU.RES 10 0.0001 0.0001 2
420_3 PINU.STR 1 0.355 113.0765 2.65
420_3 PINU.STR 2 0.5 52.6899 2
420_3 PINU.STR 3 0.1435 51.0113 2
420_3 PINU.STR 4 0.1435 35.9114 2
420_3 PINU.STR 5 0.0374 66.7234 2
420_3 PINU.STR 6 0.015 547.6834 2.65
420_3 PINU.STR 7 0.0033 2132.9314 1
420_3 PINU.STR 8 0.0187 33.9796 2
420_3 PINU.STR 9 0.0718 7.6865 2
420_3 PINU.STR 10 0.0001 0.0001 2
420_3 POPU.TRE 1 0.355 95.1454 2.65
420_3 POPU.TRE 2 0.5 42.9666 2
420_3 POPU.TRE 3 0.1435 54.3055 2
420_3 POPU.TRE 4 0.1435 32.2409 2
420_3 POPU.TRE 5 0.0374 32.3178 2
420_3 POPU.TRE 6 0.015 555.3904 2.65
420_3 POPU.TRE 7 0.0033 2135.0811 1
420_3 POPU.TRE 8 0.0187 29.6337 2
420_3 POPU.TRE 9 0.0718 9.4279 2
420_3 POPU.TRE 10 0.0001 0.0001 2
420_3 QUER.RUB 1 0.355 54.3367 2.65
420_3 QUER.RUB 2 0.5 12.8125 2
420_3 QUER.RUB 3 0.1435 171.9661 2
420_3 QUER.RUB 4 0.1435 19.6376 2
420_3 QUER.RUB 5 0.0374 632.7131 2
420_3 QUER.RUB 6 0.015 1598.0385 2.65
420_3 QUER.RUB 7 0.0033 4443.7501 1
420_3 QUER.RUB 8 0.0187 373.1532 2
420_3 QUER.RUB 9 0.0718 47.813 2
420_3 QUER.RUB 10 0.0001 0.0001 2
420_3 THUJ.SPP.ALL 1 0.355 78.8998 2.65
420_3 THUJ.SPP.ALL 2 0.5 36.9251 2
420_3 THUJ.SPP.ALL 3 0.1435 35.0568 2
420_3 THUJ.SPP.ALL 4 0.1435 26.0617 2
420_3 THUJ.SPP.ALL 5 0.0374 39.5123 2
420_3 THUJ.SPP.ALL 6 0.015 387.3628 2.65
420_3 THUJ.SPP.ALL 7 0.0033 1599.2861 1
420_3 THUJ.SPP.ALL 8 0.0187 23.7188 2
420_3 THUJ.SPP.ALL 9 0.0718 3.956 2
420_3 THUJ.SPP.ALL 10 0.0001 0.0001 2
420_3 TSUG.CAN 1 0.355 69.0769 2.65
420_3 TSUG.CAN 2 0.5 32.8994 2
420_3 TSUG.CAN 3 0.1435 29.6969 2
420_3 TSUG.CAN 4 0.1435 22.6391 2
420_3 TSUG.CAN 5 0.0374 39.8094 2
420_3 TSUG.CAN 6 0.015 338.0784 2.65
420_3 TSUG.CAN 7 0.0033 1374.2579 1
420_3 TSUG.CAN 8 0.0187 19.3471 2
420_3 TSUG.CAN 9 0.0718 2.7318 2
420_3 TSUG.CAN 10 0.0001 0.0001 2
420_4 ABIE.BAL 1 0.355 5.5395 2.65
420_4 ABIE.BAL 2 0.5 2.5777 2
420_4 ABIE.BAL 3 0.1435 1.9148 2
420_4 ABIE.BAL 4 0.1435 1.8876 2
420_4 ABIE.BAL 5 0.0374 0.0737 2
420_4 ABIE.BAL 6 0.015 28.9123 2.65
420_4 ABIE.BAL 7 0.0033 130.4296 1
420_4 ABIE.BAL 8 0.0187 0.0227 2
420_4 ABIE.BAL 9 0.0718 0.0055 2
420_4 ABIE.BAL 10 0.0001 0.0001 2
420_4 ACER.RUB 1 0.355 24.4094 2.65
420_4 ACER.RUB 2 0.5 11.5539 2
420_4 ACER.RUB 3 0.1435 9.6541 2
420_4 ACER.RUB 4 0.1435 8.5813 2
